,title,comment,num_commits,files_changed,code_churn,Root Cause,Manifestation,Category
0,"
        Added LN ST PE vars to svl-core
      ","This is related to last mail thread..$LN = for getting no of chars of list size (using delimiter)
$ST = substring using start and end(optional) indexes. And python like -start works here
eg arg=apple start=-2 returns le.$PE = extracting matched regex groups.Let me know if some modifications required.",4,7,387,regEx,other failure, 
1,"
        Add SQL REGEXP_EXTRACT function; add ""index"" to ""regex"" extractionFn.
      ",Syntax is the same as Hive/Presto's REGEXP_EXTRACT..,2,8,252,regEx,new feature,regex like implementation
2,"
        Initial pull request for the Gobblin Log Parser
      ","This pull request contains the changes for MutliConverter and MultiConverterTest..This pull request adds a series of Converters and a Source class..Converters:.ObjectToStringConverter.java - converts an Object to its String representation
StringFilterConverter.java - filters out an inputRecord based on whether or not it matches a regex
StringSplitterConverter.java - splits a string based on some configurable value.Source:.DatePartitionedSource.java - implementation of the Source interface that reads data from a date-partitioned directory
MultiWorkUnitWeightedQueue.java - users a PriorityQueue to pair WorkUnits together based on some weight.",19,18,1384,regEx,new feature,regex configuration entry
3,"
        [AMBARI-23334] Using the proper regular expression to validate SSO provider URL
      ",The regular expression we use to validate --sso-provider-url in setup-sso tool was restrictive (it only allowed host:port input. I modified the code to have the appropriate regex..Unit testing.,3,2,28,regEx,incorrect behavior, 
4,"
        NUTCH-2394 Fix of bugs detected by static code analysis
      ",String.trim() without assignment.avoid strings to fail as regex.Pattern.possible NPE in URLPartitioner: reworked code.,2,0,0,regEx,compile error, 
5,"
        [AMBARI-24797] Support regex based metric inclusion in KafkaTimelineM…
      ","…etricsReporter..The request is to to add an additional config property external.kafka.metrics.include.regex to include metrics based on regex patterns. This property can take multiple comma separated regex expressions..Implementation Logic.By default, a metric will be included..If the metric starts with any of the prefixes in the exclude.prefix property, it is a candidate for discarding..However, for an ""excluded"" metric, if the metric starts with any of the prefixes in include.prefix or matches any pattern in include.regex, it will NOT be discarded..Manual and unit testing..",1,0,0,regEx,new feature,regex configuration entry
6,"
        Feature to ""fix"" filtering on  multi-valued dimensions
      ","Currently, if you have a row in druid that has a multi-valued dimension with values [""v1"", ""v2"", ""v3""] and you send a query grouping by that dimension with filter for value ""v1"". In the response you will get rows containing ""v2"" and ""v3"" as well.
For more details see the UT MultiValuedDimensionTest.testGroupByWithDimFilter() in this PR..This PR introduces the feature to add regex or list-of-string-values filters in new DimensionSpec implementations which can be used to do proper filtering on multi-valued dimensions so that unwanted rows are discarded as early in processing pipeline as possible..Not having this ability causes unnecessary major resource utilization across brokers and historicals where result set would sometime contain 90% unwanted rows..",3,0,0,regEx,new feature, 
7,"
        Regex replacement dsl
      ","Adds ability to perform a regex replacement in YAML. Either directly as a string, or returning a Function<String, String> for use in (e.g.) Transformer.TRANSFORMATION_FROM_VALUE.",4,8,351,regEx,other failure,regex like implementation
8,"
        AMBARI-23230 Upgrade Solr configuration while upgrading Ambari 2.6.1 …
      ","…-> 2.7.0.upgrade solrconfig.xml of logsearch, solr, ranger and atlas stored in the Ambari database while upgrading Ambari.workaround for upgrading logsearch-server and logfeeder: rpm and deb packages does not create links in the /etc/ambari-logesearch-[logfeeder|portal] directory.set the default conf directory to /usr/lib/ambari-logsearch[logfeeder|portal]/conf.fix: logsearch_ui_protocol and logsearch_ui_port values where exchanged during Ambari upgrade.Unit tests for regular expressions
Manually using vagrant:.Install Ambari 2.6.2 and deploy a HDP 2.6 cluster: zookeeper, logsearch, ambari-infra, ranger.Stop logsearch.Delete collections from Infra Solr.upgrade Ambari to 2.7.0.upgrade Infra Solr and Logsearch in each host manually..Start Logsearch.Check all collections are created.Check all the solrconfig.xmls are upgraded.Please review:
@oleewere @zeroflag @g-boros.",1,16,2191,regEx,incorrect behavior,regex configuration entry
9,"
        SLING-7932 - Use Regex to parse mvn GAVs and URLs
      ",initial checkin.,1,2,112,Other,bad smell, 
